iter	Logloss
0	0.643777818711	0.5940405788
2	0.5430196274
3	0.4957007047
4	0.4564774491
5	0.421330441
6	0.383234605
7	0.3477480028
8	0.3208902336
9	0.2942799146
10	0.2705325791
11	0.2494600637
12	0.2293805437
13	0.2128273193
14	0.195936739
15	0.1782088392
16	0.1651906472
17	0.1518607926
18	0.1396324626
19	0.1286919067
20	0.1200812545
21	0.1108336895
22	0.102892807
23	0.09645120472
24	0.09043971523
25	0.08475538368
26	0.07837666346
27	0.07304875603
28	0.06868369687
229	0.06499094163030	0.06127912935
31	0.05639146938
32	0.05261228413333	0.04922702563434	0.04608429203535	0.04359514036	36	0.04154016937	0.03897279232
3838	0.037067027239	0.03443742889
4040	0.03277132864141	0.03087513542	42	0.02891767507
43	0.02707721119
44	0.02540394593
45	0.02429542481
46	0.02316166323
47	0.02212672621
48	0.02098192416
49	0.02001439544
50	0.01924582706
51	0.0179738625
52	0.01711375254
53	0.01639872066
54	0.01549590123
55	0.01456781558
56	0.01385253978
57	0.01302962208
58	0.0125535409
59	0.01189742354
60	0.01149602889
61	0.01091007996
62	0.01049244902
63	0.0100554755
64	0.009557926385
65	0.009018039861
66	0.008688505892
67	0.008367701069
68	0.008148926559
69	0.007661028021
70	0.007375869655
71	0.007195316492
72	0.007001685471
73	0.00679614296
74	0.006573271971
75	0.006386577611
76	0.006207260604
77	0.00606373823
78	0.005897262687
79	0.005716451789
80	0.005545432069
81	0.005411811601
82	0.005229809535
83	0.005101317418
84	0.004958231701
85	0.004827974701
86	0.004735709629
87	0.004625274493
88	0.004531469319
89	0.004411023028
90	0.004252982284
91	0.004129494386
92	0.004036192601
93	0.003955899263
94	0.00387831181
95	0.003799065595
96	0.003708106866
97	0.003619627456
98	0.003559108318
99	0.003433992257
100	0.00329704788
101	0.003192924413
102	0.00313977665
103	0.00306157795
104	0.002981885995
105	0.002892102799
106	0.002806368321
107	0.002749786275
108	0.002683499705
109	0.002644529101
110	0.002589273709
111	0.002548491107
112	0.002497881451
113	0.002464275067
114	0.002396705348
115	0.002357502996
116	0.002326948459
117	0.002297599423
118	0.002260297983
119	0.002201084864
120	0.002144267742
121	0.002115795642
122	0.002073615811
123	0.002043891376
124	0.00201358125	0125	0.00197461126	0126	0.00195179127	0127	0.00192809128	0128	0.00189875587
129	0.001861279130	0.001807032658
131	131	0.001801462132132	0.0017815264133133	0.0017457351134	0.001694138192
135	0.001675552659
136	0.001658751787
137	0.0137	0.001608138	0.001604327856
139	0.001587897424
140	0.001567879048
141	0.0141	0.00151992142	0142	0.00148790143	0.0015111901314144	0.0014941184145	0.001454362453
146	0.001442005804
147	0.001419227752
148	0.001396557593
149	0.001380851725
150	0.00136753984
151	0.001352643238
152	0.001332259036
153	0.001321336991
154	0.001310052928
155	0.001296237245
156	0.00127674228
157	0.001257812506
158	0.001244119075
159	0.001225729294
160	0.001215708352
161	0.001198266481
162	0.00118585792
163	0.001175827871
164	0.00116528405
165	0.001155360241
166	0.001145345266
